1,S1,1,1,1,1,1,1574899200,1
,S2,1,1,1,1,1,1574899200,
,S3,0,0,0,0,0,1574899200,
,S1,1,1,1,1,1,1574899320,
,S2,0,0,1,0,0,1574899320,
,S3,1,0,0,1,1,1574899320,
,S1,1,0,0,0,0,1574899440,
,S2,1,0,0,0,0,1574899440,
,S3,1,0,1,0,1,1574899440,
,S1,1,0,0,1,0,1574899560,
,S2,1,0,0,0,0,1574899560,
,S3,1,0,0,1,0,1574899560,
,S1,1,0,0,0,0,1574899680,
,S2,1,0,1,0,0,1574899680,
,S3,0,0,0,0,0,1574899680,
,S1,0,0,0,0,0,1574899800,
,S2,0,0,0,0,0,1574899800,
,S3,0,0,0,0,0,1574899800,
,S1,1,0,0,0,0,1574899920,
,S2,0,0,0,0,0,1574899920,
,S3,1,0,0,0,0,1574899920,
,S1,0,0,0,0,0,1574900040,
,S2,0,0,0,1,0,1574900040,
,S3,0,1,0,1,0,1574900040,
,S1,0,0,0,0,0,1574900160,
,S2,0,0,0,0,0,1574900160,
,S3,0,0,0,0,0,1574900160,
,S1,0,0,0,0,0,1574900280,
,S2,0,0,0,0,0,1574900280,
,S3,1,1,1,1,0,1574900280,
,S1,0,0,0,0,0,1574900400,
,S2,0,0,0,0,0,1574900400,
,S3,0,0,0,0,0,1574900400,
,S1,1,0,1,1,1,1574900520,
,S2,1,0,0,1,0,1574900520,
,S3,0,1,1,0,1,1574900520,
,S1,1,1,1,0,1,1574900640,
,S2,1,1,1,1,0,1574900640,
,S3,0,0,1,1,0,1574900640,
,S1,1,0,1,1,0,1574900760,
,S2,1,0,1,1,0,1574900760,
,S3,1,0,1,1,1,1574900760,
,S1,1,0,0,1,1,1574900880,
,S2,1,1,0,1,1,1574900880,
,S3,1,1,0,0,0,1574900880,
,S1,0,0,0,1,1,1574901000,
,S2,0,0,1,1,1,1574901000,
,S3,0,0,1,1,1,1574901000,
,S1,0,0,1,1,1,1574901120,
,S2,0,1,1,1,0,1574901120,
,S3,1,0,1,0,0,1574901120,
